"shapeid","x","y","label","scene"
"0","4887.68500465","-3566.88368686","cervo","DSC00049_est1"
"1","0.0","0.0","not-cervo","DSC00049_est1"
"2","300.0","0.0","not-cervo","DSC00049_est1"
"3","600.0","0.0","not-cervo","DSC00049_est1"
"4","900.0","0.0","not-cervo","DSC00049_est1"
"5","1200.0","0.0","not-cervo","DSC00049_est1"
"6","1500.0","0.0","not-cervo","DSC00049_est1"
"7","1800.0","0.0","not-cervo","DSC00049_est1"
"8","2100.0","0.0","not-cervo","DSC00049_est1"
"9","2400.0","0.0","not-cervo","DSC00049_est1"
"10","2700.0","0.0","not-cervo","DSC00049_est1"
"11","3000.0","0.0","not-cervo","DSC00049_est1"
"12","3300.0","0.0","not-cervo","DSC00049_est1"
"13","3600.0","0.0","not-cervo","DSC00049_est1"
"14","3900.0","0.0","not-cervo","DSC00049_est1"
"15","4200.0","0.0","not-cervo","DSC00049_est1"
"16","4500.0","0.0","not-cervo","DSC00049_est1"
"17","4800.0","0.0","not-cervo","DSC00049_est1"
"18","5100.0","0.0","not-cervo","DSC00049_est1"
"19","5400.0","0.0","not-cervo","DSC00049_est1"
"20","5700.0","0.0","not-cervo","DSC00049_est1"
"21","6000.0","0.0","not-cervo","DSC00049_est1"
"22","6300.0","0.0","not-cervo","DSC00049_est1"
"23","6600.0","0.0","not-cervo","DSC00049_est1"
"24","6900.0","0.0","not-cervo","DSC00049_est1"
"25","7200.0","0.0","not-cervo","DSC00049_est1"
"26","0.0","-300.0","not-cervo","DSC00049_est1"
"27","300.0","-300.0","not-cervo","DSC00049_est1"
"28","600.0","-300.0","not-cervo","DSC00049_est1"
"29","900.0","-300.0","not-cervo","DSC00049_est1"
"30","1200.0","-300.0","not-cervo","DSC00049_est1"
"31","1500.0","-300.0","not-cervo","DSC00049_est1"
"32","1800.0","-300.0","not-cervo","DSC00049_est1"
"33","2100.0","-300.0","not-cervo","DSC00049_est1"
"34","2400.0","-300.0","not-cervo","DSC00049_est1"
"35","2700.0","-300.0","not-cervo","DSC00049_est1"
"36","3000.0","-300.0","not-cervo","DSC00049_est1"
"37","3300.0","-300.0","not-cervo","DSC00049_est1"
"38","3600.0","-300.0","not-cervo","DSC00049_est1"
"39","3900.0","-300.0","not-cervo","DSC00049_est1"
"40","4200.0","-300.0","not-cervo","DSC00049_est1"
"41","4500.0","-300.0","not-cervo","DSC00049_est1"
"42","4800.0","-300.0","not-cervo","DSC00049_est1"
"43","5100.0","-300.0","not-cervo","DSC00049_est1"
"44","5400.0","-300.0","not-cervo","DSC00049_est1"
"45","5700.0","-300.0","not-cervo","DSC00049_est1"
"46","6000.0","-300.0","not-cervo","DSC00049_est1"
"47","6300.0","-300.0","not-cervo","DSC00049_est1"
"48","6600.0","-300.0","not-cervo","DSC00049_est1"
"49","6900.0","-300.0","not-cervo","DSC00049_est1"
"50","7200.0","-300.0","not-cervo","DSC00049_est1"
"51","0.0","-600.0","not-cervo","DSC00049_est1"
"52","300.0","-600.0","not-cervo","DSC00049_est1"
"53","600.0","-600.0","not-cervo","DSC00049_est1"
"54","900.0","-600.0","not-cervo","DSC00049_est1"
"55","1200.0","-600.0","not-cervo","DSC00049_est1"
"56","1500.0","-600.0","not-cervo","DSC00049_est1"
"57","1800.0","-600.0","not-cervo","DSC00049_est1"
"58","2100.0","-600.0","not-cervo","DSC00049_est1"
"59","2400.0","-600.0","not-cervo","DSC00049_est1"
"60","2700.0","-600.0","not-cervo","DSC00049_est1"
"61","3000.0","-600.0","not-cervo","DSC00049_est1"
"62","3300.0","-600.0","not-cervo","DSC00049_est1"
"63","3600.0","-600.0","not-cervo","DSC00049_est1"
"64","3900.0","-600.0","not-cervo","DSC00049_est1"
"65","4200.0","-600.0","not-cervo","DSC00049_est1"
"66","4500.0","-600.0","not-cervo","DSC00049_est1"
"67","4800.0","-600.0","not-cervo","DSC00049_est1"
"68","5100.0","-600.0","not-cervo","DSC00049_est1"
"69","5400.0","-600.0","not-cervo","DSC00049_est1"
"70","5700.0","-600.0","not-cervo","DSC00049_est1"
"71","6000.0","-600.0","not-cervo","DSC00049_est1"
"72","6300.0","-600.0","not-cervo","DSC00049_est1"
"73","6600.0","-600.0","not-cervo","DSC00049_est1"
"74","6900.0","-600.0","not-cervo","DSC00049_est1"
"75","7200.0","-600.0","not-cervo","DSC00049_est1"
"76","0.0","-900.0","not-cervo","DSC00049_est1"
"77","300.0","-900.0","not-cervo","DSC00049_est1"
"78","600.0","-900.0","not-cervo","DSC00049_est1"
"79","900.0","-900.0","not-cervo","DSC00049_est1"
"80","1200.0","-900.0","not-cervo","DSC00049_est1"
